rank,name,worldwide_box_office,movies,average
496,Jonathan Levine,322461564,6,53743594
497,John Hughes,322270786,8,40283848
498,James DeMonaco,321316189,5,64263238
499,Steven Quale,319727892,5,63945578
500,Greg Mottola,319570985,7,45652998
501,Robert Altman,317588669,21,15123270
502,Jose Padilha,316917988,4,79229497
503,Miloš Forman,315587563,8,39448445
504,Ron Shelton,315251774,9,35027975
505,Andrew Niccol,314168662,7,44881237
506,Christopher Landon,311042296,6,51840383
507,Paul Tibbitt,311013181,1,311013181
508,Chris McKay,310570560,4,77642640
509,Stephen Norrington,310502892,2,155251446
510,Phil Alden Robinson,310490792,5,62098158
511,Kirk Jones,309315152,3,103105051
512,Nitesh Tiwari,309186887,4,77296722
513,Breck Eisner,308909836,3,102969945
514,Jackie Chan,307760223,6,51293371
515,Tian Yusheng,307547824,1,307547824
516,Paul Thomas Anderson,307048823,9,34116536
517,John Carpenter,306440479,20,15322024
518,George Tillman Jr,305973896,8,38246737
519,Haruo Sotozaki,305471494,2,152735747
520,Jeff Fowler,304989872,2,152494936
521,Tony Chan,304345923,5,60869185
522,Richard Attenborough,303289110,10,30328911
523,David Green,302803370,5,60560674
524,Dante Lam,302610428,6,50435071
525,Charles Shyer,302578210,7,43225459
526,Gary Fleder,302367519,7,43195360
527,Beeban Kidron,300644202,4,75161051
528,Andrzej Bartkowiak,298879572,7,42697082
529,Kenny Ortega,296797115,7,42399588
530,Greta Gerwig,296576215,2,148288108
531,Simon Wincer,296435626,10,29643563
532,Joe Roth,295003018,5,59000604
533,Jason Friedberg,294985243,8,36873155
534,Fede Álvarez,292998974,4,73249744
535,Hoyt H. Yeatman,292817841,1,292817841
536,Josh Trank,292281945,3,97427315
537,Cheang Pou-Soi,291628574,3,97209525
538,Luke Greenfield,291428419,5,58285684
539,Carl Reiner,291264710,11,26478610
540,Steven S. DeKnight,290930148,1,290930148
541,S.S. Rajamouli,290239579,2,145119790
542,David Lean,288904665,8,36113083
543,Jesse Dylan,288196929,3,96065643
544,Theodore Melfi,286608950,4,71652238
545,Florian Henckel von Donnersmarck,283910545,2,141955273
546,Soi Cheang,282929944,3,94309981
547,Chris Noonan,281991257,2,140995629
548,Richard Benjamin,280990191,11,25544563
549,John R. Leonetti,280344647,4,70086162
550,Peter Cattaneo,279068596,4,69767149
551,David Twohy,278563481,5,55712696
552,Richard LaGravenese,278005964,7,39715138
553,Steve Rodney McQueen,277381169,4,69345292
554,Scott Waugh,277308153,3,92436051
555,Alejandro Amenábar,276422641,5,55284528
556,Leigh Whannell,276279388,4,69069847
557,James McTeigue,276214518,5,55242904
558,Roar Uthaug,276125838,3,92041946
559,John Guillermin,274963148,10,27496315
560,Cody Cameron,274392649,1,274392649
561,Kris Pearn,274392649,2,137196325
562,Greg MacGillivray,272232011,9,30248001
563,Mathieu Kassovitz,271855591,4,67963898
564,Charles Martin Smith,269359454,8,33669932
565,Boaz Yakin,268169134,8,33521142
566,Harold Becker,265167718,9,29463080
567,Kevin Smith,264699565,16,16543723
568,Wilfred Jackson,263609844,3,87869948
569,Trish Sie,263540796,3,87846932
570,Peter Chan,263525617,4,65881404
571,Yuen Woo Ping,261971463,5,52394293
572,Steve Barron,261771020,7,37395860
573,Roberto Benigni,261637240,4,65409310
574,Mel Smith,261432522,4,65358131
575,Jay Russell,260902537,5,52180507
576,Josh Gordon,260692422,3,86897474
577,Will Speck,260692422,3,86897474
578,Howard Zieff,257338596,7,36762657
579,John Huston,256280655,18,14237814
580,Camille Delamarre,256050676,3,85350225
581,Joe Pytka,255151472,2,127575736
582,Gil Kenan,254811997,4,63702999
583,Justin Kurzel,254615087,5,50923017
584,Wuershan,250549119,2,125274560
585,Peter Howitt,250484531,4,62621133
586,Lee Daniels,249776009,5,49955202
587,Eduardo Sanchez,248375131,6,41395855
588,Daniel Myrick,248300000,2,124150000
589,Anthony Leondis,247578189,2,123789095
590,Iain Softley,247489350,8,30936169
591,Bora Dagtekin,247389655,3,82463218
592,Sofia Coppola,247028603,7,35289800
593,Simon Kinberg,246356895,2,123178448
594,Scott Hicks,246334284,7,35190612
595,Dexter Fletcher,246087562,5,49217512
596,Li Wei,245759167,3,81919722
597,Ben Falcone,244319773,5,48863955
598,Teng Cheng,243870163,1,243870163
599,Tommy Wirkola,243133285,8,30391661
600,Da Peng,238564588,2,119282294
601,Ronny Yu,238351138,4,59587785
602,Tom Vaughan,238350483,5,47670097
603,Frank Miller,238184948,3,79394983
604,Klay Hall,238059569,1,238059569
605,Hamilton Luske,237601581,3,79200527
606,Russell Mulcahy,237337364,12,19778114
607,Hayden Schlossberg,236799211,1,236799211
608,Jon Hurwitz,236799211,1,236799211
609,David Cronenberg,235792940,19,12410155
610,James Gray,235174339,9,26130482
611,Steve Bendelack,234981342,1,234981342
612,Ric Roman Waugh,234391555,6,39065259
613,David S. Goyer,233103892,4,58275973
614,Jeannot Szwarc,232906411,6,38817735
615,Michael Lehmann,230411908,9,25601323
616,Derek Tsang,230067604,1,230067604
617,Martin McDonagh,229049561,3,76349854
618,Gary Dauberman,228517113,2,114258557
619,Gavin O’Connor,227775088,7,32539298
620,Robert Benton,227025100,7,32432157
621,Dean Devlin,225577647,2,112788824
622,Alfred Hitchcock,223598909,31,7212868
623,Oliver Parker,222817933,6,37136322
624,Jason Moore,222075007,3,74025002
625,Han Yan,221385662,3,73795221
626,Hideo Nakata,221293586,13,17022584
627,John Frankenheimer,220705100,20,11035255
628,Stephen Anderson,220698326,2,110349163
629,Andrew Bergman,220546898,6,36757816
630,Gary Shore,220293115,2,110146558
631,Ted Kotcheff,220127096,10,22012710
632,Jonathan Goldstein,219684584,3,73228195
633,John Francis Daley,219684584,3,73228195
634,Philip Kaufman,217829667,10,21782967
635,Danny DeVito,217014915,6,36169153
636,Babak Najafi,216903624,4,54225906
637,Gary Rydstrom,214981252,3,71660417
638,Da-Mo Peng,213949747,1,213949747
639,Fei Yan,213949747,1,213949747
640,Steven Caple Jr,213635278,2,106817639
641,David Lam,212135345,5,42427069
642,Lu Yang,212093400,2,106046700
643,Spike Jonze,212081794,5,42416359
644,Jeff Wadlow,211910019,6,35318337
645,Kevin Greutert,211680368,6,35280061
646,David Koepp,210525719,7,30075103
647,Michael Sucsy,210444191,3,70148064
648,Aaron Seltzer,209839078,7,29977011
649,Peter Yates,209721612,15,13981441
650,Rene Liu,209221328,1,209221328
651,Ben Stassen,208668079,7,29809726
652,Thea Sharrock,208265198,2,104132599
653,George A. Romero,207303458,16,12956466
654,Clark Johnson,207231259,3,69077086
655,Michael Spierig,207015925,4,51753981
656,Peter Spierig,207015925,4,51753981
657,Philippe de Chauveron,206927114,4,51731779
658,Rob Zombie,206741088,9,22971232
659,Ryan Murphy,206598789,3,68866263
660,Jim Sheridan,205830534,9,22870059
661,Dwight H. Little,205555302,11,18686846
662,Brad Lewis,205312666,1,205312666
663,Kabir Khan,205253144,5,41050629
664,Burr Steers,204591290,3,68197097
665,David McNally,204475056,2,102237528
666,Toni Myers,203054511,3,67684837
667,Mike Flanagan,202749833,7,28964262
668,Kevin MacDonald,202691867,11,18426533
669,Cathy Yan,201926139,3,67308713
670,Rajkumar Hirani,200659909,3,66886636
671,Ava Duvernay,200415830,5,40083166
672,John Schlesinger,200176949,15,13345130
673,Kobun Shizuno,199497523,8,24937190
674,Sam Quah,199276793,1,199276793
675,Xiao Lu Xue,199085416,2,99542708
676,Scott Cooper,198665834,6,33110972
677,Huang Bo,198330770,1,198330770
678,Terrence Malick,198241986,10,19824199
679,Steve Box,197593152,1,197593152
680,Shekhar Kapur,197028961,7,28146994
681,Kim Yong-hwa,196933524,2,98466762
682,Michael Engler,196121143,2,98060572
683,Scott Speer,195398201,7,27914029
684,Hiromasa Yonebayashi,195300626,3,65100209
685,Paul Haggis,195007414,5,39001483
686,Oren Peli,194190590,2,97095295
687,Tatsuya Nagamine,193316986,2,96658493
688,Jay Chandrasekhar,192595741,6,32099290
689,Pete Travis,192418433,4,48104608
690,Guo Jingming,192285806,4,48071452
691,Ted Demme,191320280,7,27331469
692,Takaski Shimizu,191193140,2,95596570
693,Alex Kendrick,190992232,5,38198446
694,John Erick Dowdle,189947470,6,31657912
695,William Brent Bell,189322756,5,37864551
696,Jazz Boon,188060456,3,62686819
697,Han-Min Kim,186211608,2,93105804
698,Felix Chong,186027770,1,186027770
699,Victor Salva,185757450,5,37151490
700,Ericson Core,185205718,3,61735239
701,David Hand,184925486,1,184925486
702,Nimrod Antal,184578523,5,36915705
703,Choi Dong-hoon,183894831,2,91947416
704,Paul Mazursky,183464162,10,18346416
705,Doug Sweetland,183353431,1,183353431
706,Neil LaBute,182721616,10,18272162
707,Alastair Fothergill,182435174,9,20270575
708,Tobe Hooper,181673538,9,20185949
709,Bennett Miller,180527972,3,60175991
710,Dennis Gansel,180507812,6,30084635
711,Stuart Baird,179912795,2,89956398
712,Scott Stewart,179557103,4,44889276
713,Miguel Arteta,179368217,8,22421027
714,William Wyler,179067177,11,16278834
715,Tod Williams,178531507,2,89265754
716,Ron Underwood,177745346,4,44436337
717,Patrick Lussier,176878962,5,35375792
718,Jared Hess,176421105,7,25203015
719,Jiang Wen,176258656,4,44064664
720,Dean Israelite,175440989,4,43860247
721,Sam Weisman,174463257,1,174463257
722,Marco Brambilla,173407200,2,86703600
723,Forest Whitaker,173296032,3,57765344
724,Colin Higgins,173001784,2,86500892
725,Jonathan Lynn,172772984,5,34554597
726,Peter Billingsley,172539969,2,86269985
727,Brad Furman,172059545,4,43014886
728,Greg Berlanti,171408470,3,57136157
729,Brett Leonard,171332425,7,24476061
730,Mark Linfield,170767670,5,34153534
731,John Boorman,170328519,13,13102194
732,Lorene Scafaria,167766614,3,55922205
733,Angelina Jolie,167764763,5,33552953
734,Steve Pink,167555057,6,27925843
735,XiaoPeng Tian,166968128,1,166968128
736,Peter Bogdanovich,166581940,12,13881828
737,Ryuichi Yagi,166235160,2,83117580
738,Rohit Shetty,166185253,7,23740750
739,John Whitesell,166148574,6,27691429
740,Niki Caro,165652565,6,27608761
741,Nick Bruno,165227447,1,165227447
742,Troy Quane,165227447,1,165227447
743,Cedric Nicolas-Troyan,165149302,2,82574651
744,Carl Franklin,165111774,7,23587396
745,Barbet Schroeder,162575915,11,14779629
746,Paul McGuigan,162213368,8,20276671
747,Franco Zeffirelli,162076692,12,13506391
748,Kim Jee-woon,161947017,5,32389403
749,Garth Davis,161281047,2,80640524
750,Mans Marlind,161123188,3,53707729
751,Björn Stein,161088683,2,80544342
752,Gregory Hoblit,160961386,3,53653795
753,Michel Hazanavicius,160844922,6,26807487
754,Yu Shan Chen,160687692,3,53562564
755,Fred Schepisi,160463570,13,12343352
756,Richard Loncraine,160402385,8,20050298
757,David Kerr,159378778,2,79689389
758,David Lowery,158569439,6,26428240
759,Sylvain White,157336836,4,39334209
760,Griffin Dunne,157080746,6,26180124
761,Rupert Wainwright,157064028,3,52354676
762,Marcus Nispel,156516162,3,52172054
763,Bobs Gannaway,156399644,1,156399644
764,Luis Llosa,155993560,2,77996780
765,Stan Dragoti,155666897,5,31133379
766,Barbra Streisand,155067309,3,51689103
767,Ali Abbas Zafar,154764535,4,38691134
768,Etan Cohen,153638058,2,76819029
769,Zhang Hongwei,153018738,1,153018738
770,John A. Davis,152603434,2,76301717
771,Nick Castle,152276625,3,50758875
772,Seung-wan Ryoo,152129489,4,38032372
773,Thurop Van Orman,152012772,1,152012772
774,Carl Rinsch,151716815,1,151716815
775,Jean-Marc Vallee,151639860,5,30327972
776,Gavin Lin,151056221,1,151056221
777,Richard Fleischer,150941788,14,10781556
778,James Ivory,150471088,18,8359505
779,Sheng Ding,149325799,6,24887633
780,Neveldine & Taylor,149217355,1,149217355
781,Sarah Smith,148947564,1,148947564
782,Johannes Roberts,146361966,7,20908852
783,Angela Robinson,146115900,3,48705300
784,Andrew Fleming,145930506,9,16214501
785,James Marsh,144940989,9,16104554
786,Xie Dikui,144830000,2,72415000
787,Laurent Tirard,143168328,5,28633666
788,Fernando Meirelles,142833368,6,23805561
789,Craig Gillespie,142268082,5,28453616
790,Jack Lee Thompson,142267600,14,10161971
791,Dany Boon,142133507,3,47377836
792,Stephen Hillenburg,142051255,1,142051255
793,Danny Cannon,141098785,2,70549393
794,Neil Marshall,141061569,7,20151653
795,Jodie Foster,140575153,4,35143788
796,Tommy Chong,139663872,6,23277312
797,Seth Rogen,138881749,2,69440875
798,Evan Goldberg,138881749,2,69440875
799,Peter Webber,138742337,5,27748467
800,Gurinder Chadha,138408687,7,19772670
801,Todd Michael Amateau,137984788,1,137984788
802,Gabor Csupo,137984788,1,137984788
803,Lok Man Leung,137878915,2,68939458
804,Martha Coolidge,137857745,11,12532522
805,James Watkins,137787872,2,68893936
806,Alec Su,137173153,2,68586577
807,Gerard McMurray,137054597,2,68527299
808,Steve Beck,136817844,2,68408922
809,Jessie Nelson,136805831,2,68402916
810,Thomas McCarthy,136578060,5,27315612
811,Danny Leiner,136007966,3,45335989
812,Walter Salles,135999633,7,19428519
813,Howard Hall,135075560,2,67537780
814,John Milius,134846657,7,19263808
815,George Nolfi,134151815,3,44717272
816,Bo Welch,133818283,1,133818283
817,Bob Rafelson,133732502,8,16716563
818,Su Lun,133650584,1,133650584
819,Peter Hedges,133535155,3,44511718
820,Chris Butler,133508843,2,66754422
821,Peter Lepeniotis,133454417,3,44484806
822,Dan Mazer,133406980,4,33351745
823,Dan Scanlan,133328444,1,133328444
824,Nima Nourizadeh,133323216,2,66661608
825,Hirokazu Kore-eda,133217075,8,16652134
826,Jason Kwan,132553963,2,66276982
827,Andrew Erwin,132475312,7,18925045
828,Jon Erwin,132475312,7,18925045
829,Nikolaj Arcel,132444804,2,66222402
830,Sang-ho Yeon,131800279,3,43933426
831,Cal Brunker,131594999,3,43865000
832,Simon Curtis,131123668,4,32780917
833,Fedor Bondarchuk,130334850,5,26066970
834,Bob Clark,130132693,6,21688782
835,Seong-hoon Kim,128927558,3,42975853
836,Colin Strause,128884494,1,128884494
837,Greg Strause,128884494,1,128884494
838,Julie Anne Robinson,128876169,2,64438085
839,Advait Chandan,128719011,1,128719011
840,Bille Woodruff,128679405,7,18382772
841,Ari Aster,128106919,2,64053460
842,David Breashears,128053530,2,64026765
843,Stephen Judson,127990128,1,127990128
844,Jonathan Dayton,127869790,3,42623263
845,Valerie Faris,127869790,3,42623263
846,Ronald Neame,126700030,9,14077781
847,Lewis Teague,126272538,5,25254508
848,Henry Selick,126037057,2,63018529
849,Hugh Hudson,125438110,7,17919730
850,Alexander Witt,125168734,1,125168734
851,Tomas Alfredson,124617490,2,62308745
852,Bill Duke,124284878,8,15535610
853,Yuichi Fukuda,124178859,6,20696477
854,Qiansen Ouyang,124169976,1,124169976
855,Chuan Lu,124157743,2,62078872
856,Martin Ritt,123729369,11,11248124
857,Neil Nightingale,123705128,2,61852564
858,John Polson,123696741,1,123696741
859,Greg Jacobs,123580421,2,61790211
860,Zach Braff,123432591,3,41144197
861,Barry Cook,123368842,1,123368842
862,Miao Yue,123195686,4,30798922
863,Woo-seok Yang,122798958,3,40932986
864,Paul Fisher,122737201,1,122737201
865,Bob Logan,122737201,1,122737201
866,Charlie Bean,122737201,2,61368601
867,Kazuaki Imai,121737928,2,60868964
868,Michael Chaves,121661395,2,60830698
869,Mira Nair,120715511,10,12071551
870,Jeremiah Chechik,120386771,5,24077354
871,Yorgos Lanthimos,120222243,5,24044449
872,Robert Stevenson,120167259,4,30041815
873,David Carson,120000000,2,60000000
874,David Lynch,119651484,10,11965148
875,Arthur Penn,119334299,7,17047757
876,David Wain,119035642,5,23807128
877,Fangfang Li,119035160,1,119035160
878,Emilio Martinez Lazaro,118865521,4,29716380
879,John Luessenhop,118702763,4,29675691
880,Wong Kar-wai,118550219,11,10777293
881,Wu'ershan,118528842,1,118528842
882,Billy Wilder,118272901,17,6957229
883,Rao Xiaozhi,118128641,1,118128641
884,Lei Zhilong,118128641,1,118128641
885,Denzel Washington,117911760,4,29477940
886,Tomoka Nagaoka,117888768,1,117888768
887,Goro Miyazaki,117792470,3,39264157
888,Samuel Bayer,117729621,1,117729621
889,Robert De Niro,117148354,2,58574177
890,Kevin Munroe,116555382,3,38851794
891,Byeong-Hun Lee,116127561,1,116127561
892,Todd Haynes,115537514,8,14442189
893,John Schultz,115272726,8,14409091
894,Dylan Brown,115115984,1,115115984
895,Joel Crawford,114955280,2,57477640
896,Alejandro Agresti,114842521,3,38280840
897,Seok-hoon Lee,114590392,2,57295196
898,Kimberly Peirce,114379555,4,28594889
899,Mike Figgis,113858556,13,8758350
900,Sidney Poitier,113774800,3,37924933
901,Leon Ding,113406488,2,56703244
902,J. Blakeson,112941537,4,28235384
903,Thomas Carter,112436505,3,37478835
904,Lin Yan,112370000,1,112370000
905,Min-ho Woo,112102009,3,37367336
906,Bernardo Bertolucci,112024128,10,11202413
907,Anton Corbijn,112012776,5,22402555
908,Anthony Stacchi,111898741,1,111898741
909,Graham Annable,111898741,1,111898741
910,Kevin Kolsch,111871070,3,37290357
911,Dennis Widmyer,111819678,2,55909839
912,Mark Pellington,111550048,6,18591675
913,Michael Cimino,111426053,8,13928257
914,Dennie Gordon,111331053,4,27832763
915,Gene Stupnitsky,111173598,1,111173598
916,Paul Weiland,110885203,4,27721301
917,Wang Baoqiang,110203801,1,110203801
918,Andrew Douglas,109175673,2,54587837
919,Oxide Pang Chun,109120819,7,15588688
920,Alister Grierson,108987858,3,36329286
921,Sergey Bodrov,108874967,1,108874967
922,Joon-ik Lee,108869130,4,27217283
923,Mike Leigh,108558200,13,8350631
924,Christophe Gans,108313019,4,27078255
925,Dan Trachtenberg,108286422,1,108286422
926,Yuzuru Tachikawa,107918046,1,107918046
927,Danny Pang,107480445,10,10748045
928,Andre Ovredal,107467118,6,17911186
929,Luis Mandoki,107190770,5,21438154
930,Sam Peckinpah,106877664,11,9716151
931,Jang Hun,106673173,2,53336587
932,Patricia Riggen,106666759,3,35555586
933,Lorna Cook,106515310,1,106515310
934,Susanna White,106445340,3,35481780
935,Stuart Rosenberg,106254229,6,17709038
936,Christian Ditter,106150300,2,53075150
937,Charles Stone III,106106451,6,17684409
938,Paul Michael Glaser,105782594,5,21156519
939,Lone Scherfig,105306098,5,21061220
940,Don Siegel,105205041,13,8092695
941,Sunny Luk,104529486,1,104529486
942,Kevin Donovan,104429625,1,104429625
943,David E. Talbert,104189940,5,20837988
944,Tianyu Zhao,104065832,2,52032916
945,John Carney,103792467,3,34597489
946,Derek Kwok,103651195,1,103651195
947,Trey Parker,103613701,3,34537900
948,Kevin Rodney Sullivan,103515356,3,34505119
949,Richard Lester,103393451,8,12924181
950,Stiles White,103300632,1,103300632
951,Wally Pfister,103039258,1,103039258
952,Gene Saks,102368900,5,20473780
953,Mark Levin,101857425,1,101857425
954,Jennifer Flackett,101857425,1,101857425
955,Richard Starzak,101850986,1,101850986
956,Mark Burton,101850986,1,101850986
957,Brad Anderson,101737599,11,9248873
958,Wai Man Yip,101381397,4,25345349
959,Francois Ozon,101270547,11,9206413
960,King Vidor,100887540,10,10088754
961,Sidney J. Furie,100825679,11,9165971
962,George Seaton,100489150,1,100489150
963,Eugenio Derbez,100486616,1,100486616
964,Paul Schrader,100209958,15,6680664
965,Zhao Wei,100030000,1,100030000
966,Drew Goddard,99889367,2,49944684
967,Youn Jk,99684837,1,99684837
968,Larry Yang,99637179,2,49818590
969,Steven E. de Souza,99423000,1,99423000
970,Roland Joffe,99263658,12,8271972
971,Steve Williams,99010667,1,99010667
972,David Kellogg,98419385,2,49209693
973,Kevin Tancharoen,97690017,2,48845009
974,Jorge R. Gutierrez,97651543,1,97651543
975,Craig Brewer,97532770,5,19506554
976,Chris Addison,97409779,2,48704890
977,John Ford,97209803,14,6943557
978,Stuart Hazeldine,96908458,2,48454229
979,Eric Warin,96890794,1,96890794
980,Eric Summer,96890794,2,48445397
981,Hal Ashby,96883158,9,10764795
982,Mark Robson,96811111,4,24202778
983,Takashi Miike,96797438,21,4609402
984,Ding Liang,96755799,1,96755799
985,Will Finn,96590394,2,48295197
986,Andrei Konchalovsky,96479187,5,19295837
987,Harold Cronk,96393509,6,16065585
988,Ryuichi Hiroki,96363629,6,16060605
989,Gregory Plotkin,96255036,2,48127518
990,Tom Hanks,96006551,2,48003276
991,Eddie Murphy,95857262,1,95857262
992,Fred Zinnemann,95828122,9,10647569
993,Stanley Donen,94665789,11,8605981
994,Chang-min Choo,94603409,2,47301705
995,Kay Cannon,94523781,3,31507927
996,Park Chan-wook,94017407,8,11752176
997,Bronwen Hughes,93957800,2,46978900
998,Bob Fosse,93623112,4,23405778
999,Mike Binder,93561782,8,11695223
1000,Lee Hwan-kyung,93120047,3,31040016
